listing_id,proxy_mean,proxy_std,review_count,mabs_mean,mover_mean,munder_mean,rating_mean,delta_S01,delta_S02,delta_S03,delta_S04,delta_S05,delta_S06,delta_S07,delta_S08,delta_S09,delta_S10,over_ratio,under_ratio
1091422934956081673,0.014207210483314539,0.07866887266269298,8,0.13953718725,0.08878527912499998,0.05075190812499995,4.59,-0.11997210625000006,0.05525544499999997,-0.03620966000000007,0.0665858325,0.0467519562500001,0.06953574375000003,0.07171476125000002,-0.03409551249999996,0.06585206874999994,0.19491518124999999,0.5,0.5
1091500387329731524,-0.05834392802331976,0.050089216062369074,39,0.10982104104102561,0.05298881832307691,0.05683222271794868,4.83,-0.09067760153846152,0.12456480307692311,-0.0920701548717949,0.1751439038461538,-0.01860585717948719,-0.05839913435897435,0.10002302282051281,-0.0978753479487179,-0.05990043805128202,-0.020637239743589688,0.10256410256410256,0.8974358974358975
1097201673425863720,0.016677421920537706,0.06370438793928454,13,0.12672918331230762,0.04491038377384611,0.08181879953846151,4.82,-0.11844143999999998,-0.013196567692307738,-0.0998911553846154,0.06026287307692308,-0.02031539230769225,0.10255266076923071,-0.12623084692307687,-0.10305948923076926,-0.0281169638,-0.022647836153846128,0.46153846153846156,0.5384615384615384
1097995825442731795,-0.004570911999832485,0.06346882075585798,26,0.11882867423076922,0.06708468826923075,0.05174398596153843,4.97,-0.06419687730769227,0.055336045769230784,-0.0985241565384615,0.07008637384615382,0.017322674615384656,0.016413907692307723,0.0031074734615384294,-0.09573139923076927,-0.020894830384615426,0.2704878111538461,0.5,0.5
1102984130027939637,0.03925472454620733,0.047513338055247975,22,0.10743429622727269,0.036196966636363626,0.07123732959090902,4.63,-0.05176020227272728,-0.06584986727272725,-0.04647313999999994,-0.07214499409090903,-0.035110800909090835,-0.05427424318181813,0.06293011999999998,-0.03579847999999999,-0.05232155499999998,0.0003995331818182081,0.7727272727272727,0.22727272727272727
1104977057298366617,0.026212932726523735,0.03330132871822835,26,0.11385693361538458,0.055705933692307655,0.058150999923076895,4.96,-0.09852901807692306,0.19979685346153842,-0.04294936000000005,0.22961002499999994,-0.008687257307692238,-0.03332977423076922,-0.10092522269230764,-0.07162897961538459,-0.052086424615384604,-0.0457215042307692,0.7692307692307693,0.23076923076923078
1111221935683053416,-0.0778952524296225,0.058768149385372594,16,0.10159270112499998,0.055029200687499974,0.04656350043749996,4.57,-0.05472100000000004,0.07410234249999996,-0.11284117187499994,0.11268071937499999,-0.027976346874999957,0.14510957124999993,0.01873560624999996,-0.04162822624999996,0.010535243125000033,-0.039339734999999966,0.0,1.0
1119691401020641385,0.017351730037887963,0.06821461147205837,11,0.11336735972727267,0.06629181854545449,0.047075541181818135,4.91,-0.06338378454545457,0.11126797272727273,-0.09154431181818178,0.10182939363636363,-0.004095049999999955,0.13389197727272728,0.0621868963636363,-0.08646570818181813,0.0154524272727272,0.013022960909090865,0.8181818181818182,0.18181818181818182
1120212616553191970,0.04130946231122908,0.04063343798272207,20,0.09945886834999997,0.03639133614999999,0.06306753219999991,4.88,-0.08784367799999997,0.056658604000000015,-0.14835705749999997,0.09732020050000001,0.0011518880000000338,0.037628887000000014,-0.06942475849999993,-0.15583633599999996,0.02410921699999998,-0.022168927000000005,0.85,0.15
1123231471304541808,0.016223413145343955,0.04106321481298568,35,0.1014778129428571,0.016172696457142803,0.08530511648571426,4.84,-0.11262052285714286,-0.08330252971428569,-0.14495287485714284,-0.08391865942857143,-0.004410923999999946,0.02294804657142853,-0.1208061177142857,-0.14065888799999995,-0.0209912051428572,-0.0026105251428571266,0.6,0.4
1124558577325015506,0.048801238931185674,0.02429478648517475,3,0.09155327599999992,0.039230882333333265,0.05232239366666663,4.6,-0.14628195333333333,0.03783867666666674,-0.12678518333333322,0.09129614333333326,0.007912193333333232,-0.0331600133333333,0.060033973333333344,-0.12013858666666664,0.10793637999999994,-0.009566743333333369,1.0,0.0
1124632058968031818,0.0008571159489818402,0.020324654100538,5,0.0821356362,0.01121758559999992,0.0709180506,5.0,-0.058772596000000045,-0.035976421999999966,-0.13719865199999992,-0.027281556000000057,-0.024032736,-0.053536296000000004,-0.10609686999999997,-0.11942526,-0.02269064200000002,-0.01199362000000004,0.6,0.4
1131258472427093335,-0.014162203121526315,0.03547257479537399,64,0.12803069704687497,0.061105170999999986,0.06692552604687496,4.98,-0.13786106734375003,0.06819940734375005,-0.11789405843749998,0.131075499375,-0.03206265437499995,-0.08103379749999996,0.0330040303125,-0.12641061593749994,-0.06365705906250002,0.26843676515625,0.3125,0.6875
